[FIXES]
AAMMM N036.10.25.899 W114.51.55.789
WODIM N048.16.17.230 W114.17.46.140
WODIN N037.19.20.000 W117.05.25.000
WODNI N044.56.57.440 W108.52.19.960
WODOK N033.39.48.380 W101.47.45.810
WODON N032.46.30.640 W116.44.26.380
WODOR N033.25.19.470 W117.05.01.370
WODOS N048.52.44.350 W104.42.50.940
WODOT N048.31.30.260 W099.15.11.270
WODRI N031.35.15.860 W110.13.14.530
WODSO N036.36.51.030 W109.53.11.930
WODTY N046.00.40.860 W098.29.17.480
WODUN N033.20.50.400 W117.18.05.300
WODUR N038.38.57.590 W122.52.08.990
WOFOC N045.46.38.300 W097.41.19.840
WOFPE N047.18.40.040 W094.48.27.040
WOGAR N043.31.48.560 W114.28.46.970
WOGEJ N042.20.04.000 W092.33.27.160
WOGFE N033.00.00.310 W102.17.33.940
WOGGU N040.52.31.710 W098.18.55.710
WOGIG N035.09.04.440 W119.19.47.130
WOGIN N039.48.54.690 W104.41.49.240
WOGIX N032.40.04.560 W114.36.14.620
WOGOT N047.40.52.720 W122.09.02.200
WOGRI N040.28.20.440 W107.11.28.860
WOHCI N037.15.26.460 W108.12.27.560
WOHLI N037.24.22.640 W122.22.32.420
WOJHO N046.47.45.680 W114.03.57.740
WOJYO N047.43.45.180 W122.18.19.500
WOKAB N044.14.20.170 W092.43.05.070
WOKAL N048.16.16.070 W106.40.47.330
WOKAM N032.42.04.030 W103.30.53.940
WOKAR N034.58.34.570 W107.44.02.010
WOKDA N038.46.59.540 W099.40.44.370
WOKEB N033.01.48.460 W105.54.58.780
WOKEN N046.58.54.790 W112.01.33.140
WOKEV N039.11.15.150 W119.42.23.930
WOKEX N041.17.06.670 W105.42.39.870
WOKIL N033.07.22.310 W119.15.39.450
WOKIN N041.27.40.980 W112.12.11.700
WOKIP N042.06.53.370 W094.35.25.780
WOKPA N039.21.12.470 W108.09.39.360
WOKRO N033.45.43.150 W117.46.17.550
WOKSU N036.31.02.180 W110.22.45.210
WOKUM N033.11.24.790 W104.19.56.490
WOKUV N039.27.18.540 W106.48.39.850
WOLAT N045.43.24.920 W111.04.36.680
WOLDA N047.37.05.630 W117.49.41.660
WOLEN N042.46.06.310 W110.56.31.060
WOLFE N041.02.34.230 W095.48.41.690
WOLFM N039.29.13.590 W104.35.56.420
WOLIP N045.14.33.610 W117.57.42.380
WOLIR N041.14.32.570 W095.50.25.790
WOLIV N048.08.20.610 W105.41.25.970
WOLKI N033.40.49.130 W107.01.38.580
WOLKU N043.58.04.770 W123.17.17.590
WOLLF N038.27.04.450 W107.35.44.430
WOLLY N047.39.02.500 W111.22.25.380
WOLOK N037.54.36.290 W098.01.58.060
WOLRI N043.59.21.210 W123.10.43.280
WOLSA N035.42.52.230 W097.38.57.100
WOLTA N044.52.02.380 W097.40.19.830
WOLTS N040.02.55.060 W104.46.51.370
WOLUN N041.46.16.400 W111.54.17.310
WOLUV N046.38.19.690 W096.49.10.620
WOLVA N048.36.02.810 W097.33.54.500
WOLVS N045.00.14.730 W092.34.22.910
WOMAD N041.58.58.310 W094.18.55.930
WOMAM N041.11.37.940 W098.05.03.020
WOMAS N038.40.13.460 W122.31.12.020
WOMAV N038.37.49.360 W121.36.08.470
WOMET N045.36.52.270 W111.15.50.030
WOMIM N036.50.22.890 W113.36.02.940
WOMIV N044.23.59.510 W104.51.33.080
WOMIX N034.34.04.970 W120.21.16.490
WOMPI N036.20.30.620 W105.53.09.840
WOMPO N038.45.25.970 W094.23.21.470
WOMRU N043.43.54.160 W110.40.37.120
WOMUN N046.45.25.010 W116.57.08.760
WONDD N043.37.01.370 W095.27.51.440
WONEK N044.14.37.660 W121.20.24.940
WONET N035.25.04.130 W101.54.28.680
WONEV N047.42.14.580 W117.38.18.770
WONGO N035.52.26.070 W121.28.54.670
WONID N039.51.13.970 W098.51.42.740
WONIG N042.13.26.300 W122.34.50.970
WONIT N043.38.51.370 W116.28.15.650
WONKU N047.13.18.950 W123.07.53.980
WONLI N034.46.31.810 W099.05.03.920
WONOD N047.42.19.860 W093.35.08.900
WONSI N041.04.30.350 W095.50.11.560
WONSU N031.47.38.500 W106.24.37.200
WONUV N042.31.40.340 W096.48.04.950
WONVO N039.27.44.140 W118.43.56.510
WOODA N041.25.01.810 W095.45.31.150
WOODD N045.27.48.000 W122.29.12.610
WOODI N047.46.07.460 W121.51.47.700
WOODO N038.45.11.950 W121.24.01.660
WOOHU N041.12.38.050 W095.48.15.230
WOOKE N039.18.25.400 W094.55.22.810
WOOKY N040.36.18.520 W105.26.31.150
WOOLI N034.39.36.840 W117.51.53.440
WOOOD N044.41.28.810 W094.56.17.500
WOOOP N038.18.00.000 W113.47.39.370
WOPEG N035.39.46.130 W098.00.15.880
WOPEK N036.37.30.050 W097.26.45.600
WOPEN N039.29.18.720 W121.27.04.120
WOPGA N041.09.49.270 W095.58.50.480
WOPGO N043.20.48.000 W123.20.29.340
WOPGU N039.09.04.680 W108.34.26.800
WOPIK N043.10.53.140 W093.19.39.850
WOPKU N047.20.00.080 W105.27.17.880
WOPMA N035.32.52.830 W115.28.11.290
WOPOB N045.00.50.600 W097.52.52.740
WOPOD N038.26.21.120 W123.09.26.280
WOPOS N032.45.49.070 W116.37.10.410
WOPPR N034.02.58.000 W118.46.52.160
WOPUW N044.41.54.120 W094.49.21.420
WORAT N043.33.24.950 W116.28.34.650
WORBI N043.41.39.990 W095.41.44.720
WOREB N042.58.29.970 W095.49.58.160
WOREM N046.34.31.560 W120.58.33.860
WORIG N035.51.41.600 W101.07.42.950
WORIN N036.29.38.930 W105.43.37.450
WORMO N031.57.53.880 W110.39.58.640
WORMU N044.52.33.470 W097.09.04.780
WOROV N035.21.17.510 W097.35.20.040
WORSO N035.57.50.380 W101.18.44.120
WORTH N039.36.19.420 W119.44.09.560
WORZO N033.51.48.690 W111.25.33.900
WOSAG N045.51.38.390 W111.16.03.720
WOSAS N038.58.32.310 W095.38.07.700
WOSAX N047.30.29.350 W117.35.20.420
WOSED N037.23.43.400 W097.09.13.270
WOSEP N043.34.27.530 W116.06.04.150
WOSIK N040.34.34.650 W103.14.54.760
WOSIM N036.53.36.720 W119.55.35.810
WOSKI N038.47.14.230 W121.33.48.410
WOSKO N043.36.05.030 W111.44.43.900
WOSLA N046.36.24.860 W111.59.14.490
WOSMA N037.23.32.860 W119.51.01.850
WOSMO N038.52.29.330 W095.37.53.870
WOSOD N037.30.44.380 W120.03.00.910
WOSUR N038.12.57.640 W102.59.35.510
WOTAG N038.43.49.740 W096.48.28.380
WOTAR N036.27.07.660 W098.15.55.860
WOTBI N032.19.17.100 W111.19.15.700
WOTEP N043.09.32.840 W103.30.10.780
WOTES N043.35.59.300 W111.58.49.970
WOTEX N034.09.24.450 W119.04.37.920
WOTIK N047.33.45.540 W122.19.01.260
WOTIM N042.40.56.980 W093.52.51.190
WOTKU N047.10.25.360 W119.02.07.890
WOTLO N044.01.20.460 W120.59.07.150
WOTMU N041.52.09.420 W103.36.37.480
WOTOK N034.29.24.600 W118.52.31.270
WOTOP N041.58.01.970 W110.34.43.270
WOTPA N047.13.38.880 W095.55.10.680
WOTPY N038.15.03.390 W097.47.02.920
WOTRO N035.10.07.890 W113.19.15.680
WOTSI N034.48.46.360 W099.15.34.790
WOTSU N042.27.39.500 W122.44.25.340
WOTUR N039.12.43.610 W094.16.02.700
WOTVI N043.07.01.760 W093.07.38.650
WOTVO N044.23.25.720 W094.33.29.800
WOVAB N038.55.40.440 W123.46.55.920
WOVED N048.02.39.870 W098.48.46.760
WOVEK N038.29.21.900 W096.58.42.050
WOVEP N038.46.39.400 W099.21.37.300
WOVER N039.55.04.210 W098.54.26.980
WOVID N038.37.51.440 W104.34.54.160
WOVIL N037.35.43.740 W097.16.24.390
WOVLA N042.38.12.480 W094.24.50.160
WOVOP N039.55.44.200 W097.02.47.850
WOVRO N036.51.34.120 W120.27.54.870
WOVUR N045.50.28.170 W092.46.05.700
WOWAR N037.34.23.030 W120.51.18.220
WOWLU N041.47.32.620 W093.49.00.320
WOWTA N039.08.49.000 W094.33.43.560
WOXAR N037.17.51.020 W121.51.30.670
WOXEB N045.03.11.700 W093.37.08.360
WOXEL N032.52.48.890 W117.05.26.710
WOXER N046.33.02.330 W093.13.37.440
WOXIG N044.10.32.530 W094.54.47.980
WOXIL N033.39.44.890 W101.46.21.510
WOXOL N047.24.33.400 W119.11.03.460
WOXOM N044.19.14.900 W096.51.36.530
WOZER N046.13.33.270 W119.03.59.430
WOZZZ N036.13.59.120 W121.48.24.460
WPOUT N037.07.10.150 W122.17.33.870
WRAPS N037.51.28.600 W120.47.01.480
WRASH N034.00.02.480 W118.35.12.630
WRICK N045.47.54.040 W092.24.58.820
WRING N035.30.47.360 W118.52.29.860
WRIPS N039.50.17.940 W104.54.06.320
WRKHS N046.45.51.320 W122.13.50.400
WRKMN N038.54.00.680 W123.12.21.650
WRNER N034.08.59.770 W118.33.37.200
WROBN N034.00.26.890 W118.29.40.100
WRSAW N044.14.53.820 W093.25.55.060
WRSTL N033.34.33.800 W117.26.52.900
WRYAN N033.51.26.880 W118.13.49.450
WSKEE N036.54.38.000 W116.06.47.990
WSTRN N035.27.02.880 W107.48.24.810
WTCHH N035.08.42.810 W097.22.56.640
WTTCH N033.55.33.390 W115.38.48.400
WUBAB N037.45.20.420 W097.23.26.530
WUBAN N045.40.00.770 W122.45.54.250
WUBBY N034.36.46.840 W106.43.53.850
WUBEB N037.59.08.200 W120.27.49.400
WUBED N048.43.30.500 W097.07.40.810
WUBER N041.01.38.260 W096.45.05.640
WUBET N047.28.07.900 W122.27.52.920
WUBGI N037.42.13.720 W104.55.20.510
WUBIL N040.19.49.510 W096.47.03.590
WUBIN N038.15.15.850 W094.38.04.870
WUBIT N048.33.37.940 W112.31.35.040
WUBMO N041.56.46.160 W097.27.08.450
WUBNO N040.57.34.830 W103.06.30.890
WUBRO N037.45.18.710 W120.48.05.800
WUBSO N041.39.33.570 W096.37.35.540
WUBUS N038.20.19.980 W121.49.26.370
WUBZU N041.29.14.520 W092.58.16.760
WUDAR N031.59.03.770 W110.38.39.410
WUDBU N034.23.38.000 W100.17.14.460
WUDEB N046.29.51.430 W120.13.03.140
WUDEN N036.36.02.700 W105.16.33.260
WUDGA N044.01.48.100 W123.12.04.360
WUDID N035.51.17.400 W109.02.37.820
WUDIN N038.32.05.800 W118.18.07.240
WUDIR N036.29.05.930 W109.29.22.320
WUDIS N038.08.45.650 W098.07.20.440
WUDKO N038.13.36.580 W122.33.00.970
WUDNO N046.37.20.500 W120.45.32.600
WUDPI N035.14.32.260 W100.33.34.730
WUDRU N032.27.41.120 W103.42.57.090
WUDUR N034.32.43.370 W099.16.25.760
WUDUS N034.05.08.710 W117.39.48.760
WUDVU N039.22.38.560 W120.06.31.600
WUFEF N046.45.00.260 W092.30.59.960
WUGAX N045.41.42.450 W092.25.03.570
WUGBI N040.21.49.640 W096.09.06.040
WUGEB N037.58.08.480 W122.23.58.360
WUGIL N044.36.30.530 W124.04.06.660
WUGIT N034.36.38.970 W117.55.28.800
WUGOD N032.54.22.440 W109.41.51.890
WUGOP N035.48.02.440 W120.32.43.180
WUGPU N045.33.15.110 W122.29.29.630
WUGRA N041.11.33.290 W094.39.54.150
WUGUT N048.53.43.010 W122.32.16.530
WUGUX N047.33.11.570 W117.59.46.740
WUJEG N033.58.36.500 W117.59.51.900
WUKAX N039.17.06.050 W123.36.52.970
WUKDI N044.49.10.220 W094.22.00.990
WUKIS N047.38.59.390 W122.17.17.000
WUKLI N039.31.55.370 W107.27.08.660
WUKON N044.39.12.370 W124.03.49.460
WUKUK N040.46.36.430 W112.04.26.820
WUKUS N037.53.27.690 W097.47.10.650
WUKUX N043.42.31.850 W107.41.33.000
WUKVA N044.50.35.940 W100.16.28.080
WULAB N046.48.32.450 W100.41.37.040
WULAM N044.44.29.600 W092.52.23.750
WULAX N044.13.51.930 W108.00.20.110
WULEP N044.35.49.250 W093.37.16.290
WULEX N048.03.56.710 W114.30.33.480
WULFE N041.08.01.790 W112.05.31.380
WULGI N037.14.35.090 W098.04.43.440
WULIP N047.36.54.220 W120.04.44.680
WULKO N033.23.25.640 W112.11.49.480
WULKU N038.53.46.580 W108.27.05.580
WULMU N037.40.41.580 W113.19.27.450
WULOL N047.19.54.800 W111.08.05.880
WULOS N039.40.40.560 W098.43.55.590
WULOV N032.19.20.610 W110.59.41.580
WULRA N037.41.14.950 W104.39.10.910
WULSO N035.50.12.280 W106.01.48.610
WUMBA N033.39.43.510 W101.51.03.080
WUMBI N044.37.18.730 W124.03.19.640
WUMEX N032.38.37.740 W107.29.15.200
WUMGA N043.42.06.320 W097.56.24.550
WUMGU N034.26.54.480 W103.01.08.790
WUMIP N041.05.27.710 W093.41.13.280
WUMIR N045.02.09.520 W095.46.56.550
WUMKA N039.31.15.990 W119.46.09.120
WUMOV N044.24.44.420 W124.00.20.840
WUMOX N047.35.07.830 W122.40.26.840
WUMPA N037.32.55.830 W097.07.26.830
WUMPI N044.55.50.690 W095.40.10.540
WUMTA N037.41.54.900 W120.38.59.270
WUMTE N040.11.54.550 W097.50.18.810
WUMUT N044.01.06.440 W121.07.57.440
WUNAD N033.38.17.860 W117.53.33.090
WUNAK N034.03.24.840 W117.32.32.760
WUNAS N041.05.37.840 W097.56.04.520
WUNBA N033.19.47.620 W112.34.49.810
WUNDI N039.39.24.140 W112.30.01.950
WUNIB N043.04.43.910 W108.30.08.070
WUNIP N039.18.46.850 W122.08.04.750
WUNIT N042.34.03.870 W097.12.48.810
WUNKI N044.29.32.020 W103.41.02.610
WUNLI N041.09.14.830 W096.05.25.120
WUNON N047.36.17.560 W117.41.35.290
WUNOT N041.19.44.240 W095.15.07.000
WUNOV N044.46.27.360 W097.32.25.330
WUNSU N038.19.21.440 W121.50.47.450
WUNTA N044.59.16.680 W092.22.05.790
WUNTI N043.58.11.140 W098.02.09.670
WUNTO N032.59.25.200 W104.18.12.740
WUNUB N033.09.06.660 W117.08.00.130
WUNVA N047.43.50.540 W122.02.48.120
WUNYE N045.42.37.910 W095.12.16.190
WUPAP N039.54.10.700 W097.55.46.900
WUPAS N041.10.30.480 W112.00.51.540
WUPEB N034.07.15.490 W118.18.52.860
WUPIK N039.54.31.640 W097.39.26.030
WUPNU N037.54.09.690 W098.14.58.530
WUPRO N046.33.07.390 W120.18.58.930
WUQWE N044.57.38.340 W092.29.09.940
WURAG N043.32.56.360 W116.28.01.560
WURAM N037.57.34.420 W097.14.07.400
WUREL N047.33.19.520 W122.18.36.660
WUREX N044.30.05.310 W121.09.12.340
WURGS N035.43.15.520 W101.12.24.130
WURIL N038.00.41.620 W117.33.36.890
WURIM N048.06.19.870 W122.46.21.410
WURIS N035.29.26.510 W097.29.48.920
WURLL N034.41.33.870 W120.16.36.170
WURLU N042.34.03.690 W093.13.40.110
WURMO N034.15.13.000 W114.41.26.000
WURNI N039.14.29.150 W108.40.03.630
WURPU N041.58.40.590 W093.56.34.530
WURTC N040.13.21.750 W100.06.38.950
WURTH N046.38.38.370 W114.01.47.230
WURTO N036.39.26.240 W097.05.57.060
WURUD N034.02.56.660 W118.24.25.120
WURUK N044.24.43.530 W120.55.16.120
WURUV N047.07.52.620 W098.42.52.080
WUSAR N044.03.33.060 W122.58.38.390
WUSBO N033.02.31.630 W105.54.09.110
WUSCO N046.59.40.040 W097.25.04.190
WUSED N048.01.48.540 W117.25.53.350
WUSEN N035.17.03.160 W098.00.15.300
WUSEP N042.49.52.320 W109.52.48.940
WUSIK N047.59.14.620 W097.10.52.330
WUSIM N048.09.10.000 W122.20.42.000
WUSIV N044.17.23.090 W121.00.16.180
WUSKA N044.25.20.330 W095.46.39.540
WUSMI N046.18.20.120 W094.43.47.370
WUSVI N047.02.51.470 W120.58.08.350
WUSVU N038.41.40.090 W121.16.03.420
WUTAB N037.53.36.340 W098.51.09.890
WUTBO N048.39.23.910 W112.13.49.010
WUTED N046.52.37.830 W095.02.17.260
WUTEK N046.26.13.130 W105.29.17.280
WUTEN N039.15.00.980 W121.55.03.060
WUTFY N035.06.53.770 W119.11.25.840
WUTGI N037.36.38.850 W118.37.22.030
WUTIN N031.47.58.220 W106.33.11.350
WUTKI N040.07.19.520 W098.33.26.550
WUTOX N037.38.04.590 W122.05.12.730
WUTSO N048.14.59.730 W097.09.48.940
WUTUP N034.36.02.800 W107.03.19.350
WUTUT N048.45.43.670 W100.41.10.250
WUTVI N034.52.27.390 W120.26.40.010
WUVAG N034.14.33.380 W118.34.03.970
WUVAM N044.34.21.000 W099.29.44.820
WUVER N033.39.05.640 W114.28.53.880
WUVGA N036.23.51.610 W101.43.29.590
WUVIR N041.17.27.560 W101.55.43.340
WUVIS N040.36.42.300 W095.35.00.420
WUVMA N035.29.49.260 W097.32.16.650
WUVOG N036.16.34.030 W098.03.34.920
WUVOK N044.03.35.820 W116.45.57.030
WUVON N037.36.45.690 W122.04.52.980
WUVTI N040.53.46.910 W096.45.01.870
WUVUR N032.40.03.230 W101.53.22.450
WUVUT N044.14.39.570 W105.15.53.110
WUVUV N035.01.56.440 W097.32.50.540
WUXAK N034.25.50.000 W118.27.09.000
WUXEK N040.31.15.540 W107.09.06.890
WUXEL N035.08.35.910 W101.21.53.280
WUXOR N035.12.30.100 W100.23.51.470
WUXOT N039.09.57.770 W111.43.24.350
WUXUB N031.35.13.350 W110.22.01.510
WUXUN N036.31.02.300 W121.38.20.510
WWAVS N036.44.29.510 W121.53.39.240
WWILL N035.26.16.660 W097.42.32.510
WWOOD N035.12.24.660 W101.48.55.840
WYLED N045.47.47.120 W108.27.40.260
WYMAN N041.49.11.030 W118.43.22.710
WYNDI N032.56.07.390 W117.43.40.310
WYNDM N040.22.59.600 W101.25.26.200
WYNNR N035.07.03.750 W120.12.54.390
WYSKI N040.47.17.080 W122.17.39.790
WYVIL N033.49.05.910 W117.19.09.980
WYYNN N036.23.03.720 W114.27.28.220
WYYNR N037.24.23.420 W097.55.27.840
WYZEE N035.41.45.920 W115.30.12.690
WZZRD N042.56.22.000 W122.08.57.000
XAKBE N038.29.58.220 W121.23.30.430
XAMAQ N045.43.54.590 W110.53.59.580
XANZI N035.12.34.700 W100.11.53.930
XAPJY N045.44.23.940 W110.53.50.730
XAQJO N047.59.40.470 W114.22.36.640
XAQTO N045.41.34.380 W111.07.55.720
XARYO N036.09.13.900 W119.12.52.560
XASWO N036.39.04.130 W102.41.20.730
XATTU N037.40.16.280 W122.29.41.380
XAVGE N031.39.53.710 W106.02.52.580
XAXWI N042.44.32.340 W092.28.58.320
XAYEJ N045.41.28.600 W111.07.53.440
XBBOX N034.23.37.000 W117.35.48.900
XBEEE N039.17.47.210 W104.50.18.720
XBGIN N039.09.21.150 W104.40.52.180
XBOXX N039.11.26.370 W105.03.25.660
XCUTE N048.00.41.890 W122.25.13.950
XELOW N046.09.38.060 W118.58.10.890
XENYO N043.06.15.050 W093.14.06.730
XEPWY N044.01.47.110 W103.06.38.370
XEQER N044.32.19.730 W092.59.19.830
XERMY N040.48.19.920 W094.00.25.660
XESCU N043.52.11.120 W098.02.05.830
XEXQI N033.36.32.580 W112.02.22.440
XEXXA N041.32.01.940 W112.03.43.210
XEYRU N036.26.55.740 W101.19.53.430
XEZUC N034.15.49.980 W116.49.54.460
XFROM N039.13.19.010 W104.40.06.570
XGAME N033.58.00.000 W105.17.00.000
XIKIY N038.18.25.980 W122.41.35.850
XIPZY N040.32.44.690 W093.54.16.690
XIQCU N042.15.42.780 W122.32.27.680
XIWVA N046.18.25.240 W117.07.09.600
XJOIN N039.10.19.530 W104.56.31.310
XLENT N039.10.15.800 W104.44.45.480
XMAAK N039.29.17.430 W105.01.35.280
XMANS N032.48.42.480 W117.12.43.310
XMRKS N034.53.56.730 W107.09.28.580
XOGSY N037.24.14.040 W105.53.31.600
XOJPO N037.44.55.870 W113.03.28.300
XOMYY N047.37.14.410 W101.23.39.910
XOMZA N032.49.02.030 W109.35.37.200
XOPIW N040.02.25.280 W118.35.41.630
XOQAT N040.06.49.780 W118.31.59.280
XORPE N045.38.15.220 W122.42.26.420
XOYTY N044.54.19.200 W116.06.08.350
XOZSU N040.27.28.210 W107.50.41.600
XPATH N039.12.21.190 W104.50.05.460
XPLNE N035.12.39.540 W117.39.33.700
XSTRA N039.17.25.820 W104.40.03.210
XTREM N039.20.21.940 W106.55.27.980
XUBRA N048.56.08.220 W117.35.35.910
XUGME N039.42.13.870 W123.18.02.820
XUKAW N039.09.07.400 W108.40.47.180
XUKRE N047.55.15.820 W122.16.40.080
XULXU N042.28.59.970 W114.25.19.360
XUMYI N043.29.36.990 W094.46.05.360
XUNXO N040.48.53.310 W124.07.48.590
XUSDY N044.33.30.830 W099.55.41.690
XUWHU N045.42.12.480 W110.26.15.650
XWILL N039.16.54.630 W104.52.50.040
XXELL N034.46.28.510 W119.28.08.660
XYLAN N035.06.34.330 W097.28.07.960
XYOUU N039.31.42.240 W105.01.31.410
YAANO N048.53.37.700 W122.39.51.130
YAAPY N034.39.53.000 W118.07.50.000
YABFE N045.04.13.400 W093.50.41.720
YABLU N046.19.14.270 W120.38.17.730
YABUR N042.27.33.160 W096.27.49.330
YABUT N045.56.52.080 W095.56.53.140
YACSE N044.42.04.660 W108.37.33.900
YACUC N038.01.55.910 W095.13.44.520
YACUG N039.28.37.040 W122.13.05.260
YACUL N034.58.30.430 W102.06.14.230
YACUS N041.47.18.910 W124.14.47.970
YACYU N042.32.04.130 W095.34.05.800
YADBU N045.01.32.380 W099.59.35.330
YADDY N040.49.02.370 W112.29.35.260
YADFY N038.56.47.510 W121.11.01.640
YADNU N039.08.43.040 W112.14.45.950
YADUT N037.12.14.360 W122.01.23.800
YAFFS N034.00.15.310 W117.43.37.290
YAFLU N047.07.45.800 W104.28.56.830
YAGER N040.33.26.490 W123.49.27.450
YAGIS N034.14.18.170 W118.59.03.700
YAGUP N043.40.50.640 W111.53.35.330
YAGUS N033.53.15.350 W116.10.28.740
YAITS N046.06.10.240 W100.31.16.170
YAKIY N039.10.00.380 W102.27.24.110
YAKKY N048.29.13.660 W106.42.00.400
YAKYU N039.23.36.590 W120.06.10.870
YALES N040.47.39.620 W104.44.20.400
YALLO N046.17.59.260 W117.57.43.010
YALUT N032.28.17.820 W101.30.40.800
YAMMI N040.45.53.790 W105.04.04.830
YAMNA N041.18.05.570 W099.37.35.790
YANEX N042.16.18.200 W121.18.29.820
YANKI N041.31.39.040 W100.44.05.000
YANKU N040.20.18.400 W115.29.37.210
YANNO N045.33.51.130 W122.30.16.160
YANNU N035.02.41.340 W106.42.08.590
YANUK N038.08.31.010 W100.52.08.300
YANUY N043.27.22.570 W096.42.01.900
YAPEC N046.14.46.610 W123.08.41.070
YAPKI N032.34.59.010 W117.06.20.500
YAPON N035.35.04.880 W097.53.17.970
YAPUB N038.19.20.190 W122.56.56.670
YAPUC N042.50.03.330 W097.38.03.360
YAPUL N040.46.22.430 W096.40.58.240
YAPUS N037.15.12.780 W101.19.05.840
YAQER N044.27.44.230 W119.26.45.810
YARBU N036.18.07.750 W101.08.16.730
YARGR N046.45.43.000 W102.03.39.000
YARKU N039.08.22.930 W119.40.49.120
YARNS N036.04.39.370 W096.41.06.200
YARUB N038.13.18.950 W107.38.32.120
YARUL N043.35.56.640 W116.18.50.760
YARUP N045.32.21.570 W112.22.09.310
YASCU N033.25.51.590 W111.57.05.490
YATBU N035.58.50.990 W121.13.19.160
YATDO N040.53.20.450 W097.32.44.340
YATOJ N041.33.25.560 W098.51.57.660
YATUN N035.19.26.310 W098.47.08.550
YATUP N032.15.47.830 W107.39.34.680
YATUY N039.29.28.260 W107.49.25.640
YATZE N033.53.49.490 W116.39.26.310
YAVOR N035.48.40.720 W097.42.54.960
YAVUC N043.56.58.530 W102.59.15.830
YAVUK N044.40.05.990 W093.20.14.930
YAVUP N038.56.04.940 W095.26.37.110
YAVUR N048.04.11.060 W122.16.40.080
YAVUV N047.08.28.340 W119.09.11.670
YAWVA N041.04.19.080 W112.00.28.110
YAXDE N036.42.52.080 W102.45.23.650
YAXOF N047.39.45.320 W122.18.21.620
YAYDO N037.51.26.470 W111.56.36.320
YAYDU N043.18.05.650 W095.27.25.120
YAYGR N034.51.08.680 W117.59.14.930
YAYKU N048.04.29.640 W122.09.15.520
YAYUB N048.06.03.450 W123.06.09.670
YAYUL N037.43.27.540 W097.24.18.330
YAZKY N045.21.00.840 W098.25.37.920
YAZMA N045.16.10.270 W093.52.12.110
YCDIL N033.52.12.100 W116.25.47.100
YEALO N046.16.50.840 W108.51.32.540
YEARR N041.21.18.190 W099.34.34.160
YEBUN N034.11.59.180 W118.30.48.980
YEBUS N036.21.55.270 W097.54.52.760
YEBUY N044.09.03.850 W094.22.19.170
YEBVI N039.37.19.500 W101.02.47.930
YECBO N040.34.42.050 W095.13.54.630
YECTU N038.33.47.510 W107.53.34.350
YECUG N034.59.18.020 W106.59.58.000
YECUT N037.43.25.380 W100.46.49.900
YECXY N033.25.51.860 W112.08.23.870
YEDUN N047.38.17.360 W095.47.18.430
YEDUR N045.24.38.470 W095.20.19.250
YEDUT N043.30.01.920 W093.19.00.200
YEDUV N035.05.14.030 W111.43.32.580
YEFBE N040.27.44.550 W093.54.25.050
YEGGU N037.44.00.830 W122.14.14.520
YEGUB N042.08.58.800 W096.45.01.380
YEGUL N045.46.48.210 W108.14.44.310
YEGUR N042.28.59.980 W114.37.49.380
YEGUS N041.04.02.090 W107.24.06.080
YEKNU N036.21.33.970 W096.16.25.360
YEKUP N037.48.23.920 W101.47.23.780
YEKUS N041.42.25.860 W105.55.35.690
YEKUT N036.30.41.070 W119.45.30.720
YEKUY N035.42.12.270 W100.49.55.870
YELAH N034.51.15.000 W116.38.40.900
YELLU N038.17.19.840 W100.46.34.790
YELOO N037.28.01.780 W097.30.23.500
YELUG N047.16.28.680 W119.10.27.020
YELUR N040.12.35.930 W102.51.32.020
YELUV N043.35.18.860 W099.57.09.150
YENTL N045.36.39.080 W121.25.30.000
YENUN N040.44.56.900 W096.46.41.130
YENUP N048.37.56.160 W111.34.36.340
YENUR N043.55.00.870 W116.57.26.850
YEPCU N046.34.45.330 W120.35.10.700
YEPDU N043.38.05.350 W116.37.32.830
YEPSU N046.11.33.660 W093.56.23.140
YEPUL N043.10.33.080 W095.48.47.210
YEPUV N034.18.23.360 W099.13.21.990
YERGU N035.52.15.130 W120.42.22.770
YERIN N038.58.46.870 W118.57.41.910
YERPU N044.23.56.040 W118.57.15.130
YERUD N047.23.52.370 W119.13.53.040
YERUP N042.47.58.540 W112.57.15.920
YERUT N046.32.27.130 W111.34.08.300
YERUV N039.16.21.750 W095.47.18.620
YESUD N038.51.48.890 W099.14.15.940
YESUL N045.47.43.160 W092.24.49.570
YESUR N043.34.03.690 W092.33.41.680
YESUS N041.02.19.920 W100.12.37.830
YESUT N047.00.38.440 W109.50.30.610
YETDO N033.03.12.640 W114.26.19.990
YETER N042.29.59.080 W094.05.51.890
YETII N047.58.36.438 W123.09.00.058
YETJA N042.07.22.930 W095.38.45.220
YETKU N034.09.34.280 W099.05.23.740
YETPU N041.14.39.570 W095.50.12.980
YETRU N038.06.28.940 W098.13.03.920
YETTS N034.01.22.060 W117.43.25.910
YETUD N039.40.55.670 W119.47.34.190
YETUG N031.54.27.830 W111.05.52.540
YETUK N038.55.58.000 W094.57.26.400
YETUP N040.38.36.700 W099.17.41.370
YEVJO N039.13.40.070 W108.36.40.870
YEVMY N037.43.24.230 W101.33.45.520
YEWRU N034.37.38.440 W120.10.45.280
YEWSS N041.21.16.120 W095.56.21.640
YEWTO N039.21.22.980 W097.39.06.020
YEYUC N041.07.03.730 W101.50.42.340
YEYUD N042.37.37.960 W123.27.17.660
YEYUK N039.45.51.350 W097.02.50.800
